report,element_count,community_count,entropy,opportunity_type,top_communities,impact_score
Report 19,21,4,1.860828877124943,splitting,"{1: 8, 3: 7, 2: 3}",3.9077406419623806
Report 17,16,4,1.9237949406953985,splitting,"{3: 5, 1: 5, 5: 4}",3.0780719051126377
Report 5,12,6,2.4591479170272446,splitting,"{6: 3, 3: 3, 5: 2}",2.9509775004326935
Report 3,13,5,2.103909910282364,splitting,"{3: 4, 1: 4, 5: 3}",2.735082883367073
Report 4,15,4,1.7464657985040721,splitting,"{5: 7, 1: 4, 3: 3}",2.619698697756108
Report 10,14,4,1.863120568566631,splitting,"{3: 5, 6: 5, 5: 2}",2.6083687959932833
Report 9,14,4,1.7884504573082896,splitting,"{1: 6, 5: 4, 2: 3}",2.5038306402316053
Report 18,14,4,1.7244078178625923,splitting,"{2: 7, 6: 3, 3: 3}",2.414170945007629
Report 13,11,5,2.1180782093497093,splitting,"{1: 4, 0: 3, 2: 2}",2.32988603028468
Report 6,12,4,1.855388542207534,splitting,"{1: 4, 3: 4, 2: 3}",2.226466250649041
