report,element_count,community_count,entropy,opportunity_type,top_communities,impact_score
Report 19,21,6,2.3437674223666707,splitting,"{8: 8, 11: 3, 4: 3}",4.921911586970008
Report 4,15,8,2.7898980954642867,splitting,"{4: 4, 8: 3, 2: 2}",4.18484714319643
Report 8,14,8,2.8423709931771093,splitting,"{2: 3, 8: 3, 9: 2}",3.979319390447953
Report 2,11,9,3.0957952550009344,splitting,"{1: 2, 11: 2, 0: 1}",3.4053747805010284
Report 20,13,7,2.6031579868726,splitting,"{8: 3, 1: 3, 4: 3}",3.38410538293438
Report 12,21,4,1.580000754875826,splitting,"{11: 9, 8: 9, 4: 2}",3.3180015852392346
Report 17,16,5,1.9746017527145814,splitting,"{8: 7, 1: 4, 2: 3}",3.1593628043433304
Report 5,12,7,2.5220552088742005,splitting,"{8: 4, 11: 3, 9: 1}",3.0264662506490407
Report 9,14,5,2.074164743022575,splitting,"{4: 6, 11: 3, 1: 2}",2.903830640231605
Report 3,13,5,2.075869296697727,splitting,"{8: 5, 1: 3, 2: 3}",2.6986300857070447
