report,element_count,community_count,entropy,opportunity_type,top_communities,impact_score
Report 12,21,4,1.5800007548758261,splitting,"{4: 9, 2: 9, 1: 2}",3.318001585239235
Report 19,21,3,1.4180260055608094,splitting,"{4: 11, 2: 7, 3: 3}",2.9778546116777
Report 18,14,4,1.863120568566631,splitting,"{1: 5, 2: 5, 4: 2}",2.6083687959932833
Report 5,12,5,2.1258145836939115,splitting,"{2: 4, 3: 3, 1: 3}",2.550977500432694
Report 17,16,3,1.5461796919474975,splitting,"{2: 7, 3: 5, 4: 4}",2.473887507115996
Report 9,14,4,1.7273966735744792,splitting,"{4: 6, 3: 5, 1: 2}",2.4183553430042712
Report 3,13,4,1.8262452584026092,splitting,"{4: 5, 2: 4, 3: 3}",2.374118835923392
Report 20,13,4,1.6691803368667308,splitting,"{4: 7, 2: 3, 3: 2}",2.16993443792675
Report 14,11,4,1.867633890971212,splitting,"{0: 4, 4: 3, 2: 3}",2.054397280068333
Report 10,14,3,1.4315602842833155,splitting,"{1: 7, 2: 5, 3: 2}",2.0041843979966414
