report,element_count,community_count,entropy,opportunity_type,top_communities,impact_score
Report 19,21,5,1.9075169719509488,splitting,"{3: 9, 4: 7, 7: 2}",4.005785641096993
Report 12,21,4,1.8047604500341237,splitting,"{8: 10, 3: 5, 1: 3}",3.7899969450716595
Report 16,25,4,1.4984545358221244,splitting,"{1: 13, 4: 9, 8: 2}",3.746136339555311
Report 5,12,7,2.625814583693911,splitting,"{0: 3, 3: 3, 1: 2}",3.150977500432693
Report 10,14,5,2.209888638014727,splitting,"{0: 5, 4: 3, 3: 2}",3.093844093220618
Report 18,14,5,2.209888638014727,splitting,"{8: 5, 0: 3, 3: 2}",3.093844093220618
Report 8,14,5,2.1209520310264036,splitting,"{4: 5, 3: 4, 5: 2}",2.9693328434369652
Report 17,16,4,1.5306390622295665,splitting,"{4: 8, 3: 6, 8: 1}",2.4490224995673064
Report 14,11,4,1.9362600275315274,splitting,"{2: 4, 1: 3, 8: 2}",2.12988603028468
Report 3,13,4,1.6143308351592656,splitting,"{4: 6, 3: 5, 1: 1}",2.0986300857070455
