report,element_count,community_count,entropy,opportunity_type,top_communities,impact_score
Report 19,21,3,1.5451531398349103,splitting,"{1: 9, 2: 7, 0: 5}",3.244821593653312
Report 17,16,3,1.4772170014624826,splitting,"{1: 8, 2: 5, 0: 3}",2.363547202339972
Report 5,12,4,1.8250112108241772,splitting,"{0: 5, 1: 3, 2: 3}",2.1900134529890125
Report 13,11,4,1.867633890971212,splitting,"{0: 4, 1: 3, 3: 3}",2.054397280068333
Report 14,11,4,1.867633890971212,splitting,"{3: 4, 0: 3, 2: 3}",2.054397280068333
Report 10,14,3,1.4315602842833155,splitting,"{0: 7, 2: 5, 1: 2}",2.0041843979966414
Report 6,12,3,1.584962500721156,splitting,"{1: 4, 0: 4, 2: 4}",1.9019550008653874
Report 3,13,3,1.419556298571613,splitting,"{1: 7, 2: 4, 0: 2}",1.8454231881430971
Report 9,14,3,1.2958363892911637,splitting,"{1: 7, 0: 6, 3: 1}",1.814170945007629
Report 11,12,3,1.3250112108241772,splitting,"{1: 6, 2: 5, 0: 1}",1.5900134529890126
