report,element_count,community_count,entropy,opportunity_type,top_communities,impact_score
Report 16,25,4,1.5829661954675214,splitting,"{4: 14, 1: 5, 3: 5}",3.9574154886688033
Report 12,21,5,1.7363918270255534,splitting,"{3: 12, 5: 4, 4: 3}",3.646422836753662
Report 19,21,4,1.4519076150714063,splitting,"{5: 10, 4: 9, 3: 1}",3.0490059916499535
Report 17,16,4,1.75,splitting,"{4: 8, 5: 4, 0: 2}",2.8
Report 5,12,6,2.221251836004466,splitting,"{3: 5, 5: 3, 0: 1}",2.6655022032053592
Report 10,14,5,1.8702538164316223,splitting,"{3: 6, 4: 5, 5: 1}",2.618355343004271
Report 9,14,4,1.7244078178625923,splitting,"{5: 7, 0: 3, 3: 3}",2.414170945007629
Report 4,15,4,1.532914563979398,splitting,"{5: 8, 4: 5, 0: 1}",2.2993718459690973
Report 20,13,4,1.6691803368667308,splitting,"{5: 7, 4: 3, 0: 2}",2.16993443792675
Report 6,12,4,1.7841591278514217,splitting,"{4: 5, 5: 4, 3: 2}",2.140990953421706
