report,element_count,community_count,entropy,opportunity_type,top_communities,impact_score
Report 19,21,5,2.0279610201881306,splitting,"{5: 8, 1: 7, 4: 2}",4.258718142395074
Report 12,21,5,1.9794110197760413,splitting,"{1: 7, 5: 6, 7: 6}",4.156763141529686
Report 17,16,5,2.10845859334435,splitting,"{1: 6, 2: 4, 5: 3}",3.3735337493509596
Report 18,14,5,2.270942421748537,splitting,"{1: 4, 6: 3, 5: 3}",3.179319390447952
Report 5,12,7,2.6258145836939115,splitting,"{6: 3, 1: 3, 2: 2}",3.150977500432694
Report 10,14,5,2.005977711423774,splitting,"{1: 5, 6: 5, 5: 2}",2.808368795993283
Report 3,13,5,2.075869296697727,splitting,"{2: 5, 1: 3, 5: 3}",2.6986300857070447
Report 9,14,5,1.8322488896002305,splitting,"{5: 7, 2: 4, 7: 1}",2.5651484454403226
Report 20,13,4,1.7381493331928661,splitting,"{5: 6, 2: 4, 1: 2}",2.259594133150726
Report 4,15,3,1.5058231002082845,splitting,"{4: 7, 5: 5, 1: 3}",2.2587346503124266
