report,element_count,community_count,entropy,opportunity_type,top_communities,impact_score
Report 19,21,5,2.0047476376636357,splitting,"{2: 9, 1: 5, 10: 4}",4.209970039093635
Report 12,21,4,1.8221189251103271,splitting,"{5: 10, 12: 4, 1: 4}",3.826449742731687
Report 16,25,3,1.4056780552463373,splitting,"{2: 14, 5: 7, 7: 4}",3.5141951381158436
Report 5,12,7,2.688721875540867,splitting,"{4: 3, 10: 2, 2: 2}",3.2264662506490405
Report 15,17,5,1.8498687225851778,splitting,"{2: 9, 10: 3, 5: 3}",3.1447768283948023
Report 4,15,5,2.063458298648303,splitting,"{10: 7, 11: 2, 1: 2}",3.095187447972455
Report 17,16,5,1.9211796919474975,splitting,"{10: 7, 2: 5, 5: 2}",3.073887507115996
Report 10,14,5,2.1820058147602133,splitting,"{2: 4, 4: 4, 5: 3}",3.0548081406642984
Report 9,14,5,2.1209520310264036,splitting,"{10: 5, 1: 4, 5: 2}",2.9693328434369652
Report 1,11,7,2.5503407095463886,splitting,"{1: 4, 5: 2, 11: 1}",2.8053747805010274
