report,element_count,community_count,entropy,opportunity_type,top_communities,impact_score
Report 19,21,6,2.3437674223666707,splitting,"{3: 6, 4: 6, 7: 4}",4.921911586970008
Report 12,21,4,1.746435384238893,splitting,"{2: 11, 3: 4, 4: 3}",3.6675143069016753
Report 17,16,5,2.2272170014624826,splitting,"{3: 5, 7: 4, 4: 3}",3.563547202339972
Report 5,12,7,2.625814583693911,splitting,"{1: 3, 7: 3, 3: 2}",3.150977500432693
Report 18,14,5,2.155968102145908,splitting,"{2: 5, 1: 3, 7: 3}",3.018355343004271
Report 8,14,5,2.1280852788913944,splitting,"{8: 6, 3: 2, 4: 2}",2.9793193904479525
Report 4,15,5,1.965596230357602,splitting,"{8: 6, 3: 5, 7: 2}",2.948394345536403
Report 3,13,6,2.199687794731328,splitting,"{4: 6, 3: 2, 9: 2}",2.8595941331507264
Report 11,12,6,2.2841591278514217,splitting,"{7: 5, 8: 2, 4: 2}",2.740990953421706
Report 10,14,4,1.863120568566631,splitting,"{7: 5, 1: 5, 3: 2}",2.6083687959932833
