report,element_count,community_count,entropy,opportunity_type,top_communities,impact_score
Report 19,21,4,1.8047604500341234,splitting,"{1: 10, 0: 5, 3: 3}",3.789996945071659
Report 17,16,4,1.9237949406953985,splitting,"{5: 5, 0: 5, 1: 4}",3.0780719051126377
Report 5,12,5,2.1258145836939115,splitting,"{0: 4, 5: 3, 3: 3}",2.550977500432694
Report 9,14,4,1.809200032697812,splitting,"{5: 5, 1: 5, 3: 3}",2.532880045776937
Report 4,15,4,1.6729055953200562,splitting,"{5: 8, 1: 3, 0: 3}",2.5093583929800842
Report 13,11,5,2.2312702546075758,splitting,"{4: 3, 1: 3, 5: 2}",2.4543972800683336
Report 10,14,4,1.6893917467430877,splitting,"{0: 7, 3: 4, 5: 2}",2.365148445440323
Report 3,13,4,1.7758589482446405,splitting,"{1: 6, 5: 3, 0: 3}",2.3086166327180324
Report 6,12,4,1.8250112108241772,splitting,"{1: 5, 3: 3, 0: 3}",2.1900134529890125
Report 14,11,4,1.9362600275315274,splitting,"{4: 4, 0: 3, 3: 2}",2.12988603028468
