report,element_count,community_count,entropy,opportunity_type,top_communities,impact_score
Report 19,21,5,2.0445569985498815,splitting,"{4: 7, 6: 7, 3: 4}",4.293569696954751
Report 12,21,3,1.4745541487842893,splitting,"{0: 11, 4: 5, 6: 5}",3.0965637124470073
Report 18,14,5,2.155968102145908,splitting,"{0: 5, 2: 3, 6: 3}",3.018355343004271
Report 17,16,4,1.8828560636920488,splitting,"{4: 6, 6: 5, 7: 3}",3.012569701907278
Report 5,12,6,2.396240625180289,splitting,"{2: 3, 4: 3, 6: 3}",2.875488750216347
Report 3,13,5,2.161978179679554,splitting,"{6: 4, 3: 4, 4: 2}",2.81057163358342
Report 4,15,4,1.781937063546704,splitting,"{7: 6, 4: 5, 6: 3}",2.672905595320056
Report 10,14,4,1.863120568566631,splitting,"{6: 5, 2: 5, 4: 2}",2.6083687959932833
Report 8,14,4,1.7783283537314114,splitting,"{7: 7, 6: 3, 4: 2}",2.4896596952239762
Report 11,12,5,1.9508257945180885,splitting,"{6: 5, 7: 4, 0: 1}",2.340990953421706
