report,element_count,community_count,entropy,opportunity_type,top_communities,impact_score
Report 19,21,3,1.5190461643198376,splitting,"{0: 10, 2: 6, 1: 5}",3.189996945071659
Report 17,16,3,1.5,splitting,"{0: 8, 2: 4, 1: 4}",2.4
Report 13,11,4,1.867633890971212,splitting,"{1: 4, 0: 3, 3: 3}",2.054397280068333
Report 14,11,4,1.867633890971212,splitting,"{3: 4, 1: 3, 2: 3}",2.054397280068333
Report 3,13,3,1.4572659136233872,splitting,"{0: 7, 1: 3, 2: 3}",1.8944456877104034
Report 6,12,3,1.5545851693377997,splitting,"{1: 5, 2: 4, 0: 3}",1.8655022032053594
Report 5,12,4,1.5510981710072647,splitting,"{2: 7, 0: 3, 1: 1}",1.8613178052087176
Report 20,13,3,1.419556298571613,splitting,"{0: 7, 2: 4, 1: 2}",1.8454231881430971
Report 11,12,3,1.3250112108241772,splitting,"{0: 6, 2: 5, 1: 1}",1.5900134529890126
Report 2,11,3,1.3485878960124222,splitting,"{0: 5, 1: 5, 2: 1}",1.4834466856136646
