report,element_count,community_count,entropy,opportunity_type,top_communities,impact_score
Report 19,21,4,1.7849418274376427,splitting,"{5: 8, 3: 8, 2: 3}",3.74837783761905
Report 12,21,4,1.7723388509380997,splitting,"{0: 8, 5: 6, 3: 6}",3.72191158697001
Report 5,12,7,2.688721875540867,splitting,"{1: 3, 2: 2, 5: 2}",3.2264662506490405
Report 18,14,5,2.270942421748537,splitting,"{0: 4, 1: 3, 3: 3}",3.179319390447952
Report 17,16,4,1.764097655573916,splitting,"{3: 6, 5: 6, 2: 3}",2.8225562489182656
Report 10,14,5,2.0059777114237742,splitting,"{3: 5, 1: 5, 0: 2}",2.808368795993284
Report 3,13,4,1.760495029766198,splitting,"{5: 5, 3: 5, 2: 2}",2.2886435386960575
Report 4,15,3,1.456564762130954,splitting,"{2: 8, 5: 4, 3: 3}",2.184847143196431
Report 14,11,4,1.867633890971212,splitting,"{6: 4, 5: 3, 3: 3}",2.054397280068333
Report 6,12,4,1.6258145836939115,splitting,"{5: 6, 3: 4, 2: 1}",1.950977500432694
