report,element_count,community_count,entropy,opportunity_type,top_communities,impact_score
Report 12,21,5,2.1105961389266823,splitting,"{1: 7, 6: 6, 4: 4}",4.4322518917460325
Report 16,25,4,1.571346433249389,splitting,"{7: 14, 1: 6, 8: 4}",3.9283660831234726
Report 19,21,4,1.7170407814747584,splitting,"{7: 9, 5: 7, 6: 4}",3.6057856410969924
Report 5,12,7,2.6258145836939115,splitting,"{5: 3, 4: 3, 1: 2}",3.150977500432694
Report 18,14,5,2.0670314951575843,splitting,"{4: 5, 1: 4, 6: 3}",2.893844093220618
Report 17,16,4,1.7961796919474975,splitting,"{7: 7, 5: 5, 9: 2}",2.873887507115996
Report 9,14,5,1.9751060324573733,splitting,"{5: 7, 4: 2, 9: 2}",2.7651484454403223
Report 6,12,5,2.188721875540867,splitting,"{7: 4, 6: 3, 9: 2}",2.6264662506490404
Report 14,11,6,2.3685225277282065,splitting,"{10: 4, 6: 2, 7: 2}",2.605374780501027
Report 4,15,4,1.6894822670191825,splitting,"{5: 7, 7: 5, 6: 2}",2.5342234005287736
