report,element_count,community_count,entropy,opportunity_type,top_communities,impact_score
Report 16,25,4,1.5143029514736248,splitting,"{7: 12, 3: 10, 4: 2}",3.7857573786840617
Report 19,21,5,1.7956828983511028,splitting,"{5: 9, 7: 8, 8: 2}",3.7709340865373155
Report 12,21,4,1.7814164026211206,splitting,"{4: 10, 5: 5, 7: 4}",3.740974445504353
Report 10,14,6,2.467720100474499,splitting,"{2: 4, 7: 3, 5: 2}",3.4548081406642988
Report 5,12,7,2.625814583693911,splitting,"{2: 3, 5: 3, 3: 2}",3.150977500432693
Report 18,14,5,2.0202442071537563,splitting,"{4: 6, 2: 3, 7: 3}",2.828341890015259
Report 8,14,4,1.8423709931771088,splitting,"{7: 6, 5: 4, 9: 2}",2.579319390447952
Report 14,11,5,2.1867043459100244,splitting,"{6: 4, 4: 2, 5: 2}",2.4053747805010266
Report 3,13,4,1.8262452584026092,splitting,"{7: 5, 5: 4, 1: 3}",2.374118835923392
Report 6,12,4,1.7841591278514217,splitting,"{5: 5, 7: 4, 4: 2}",2.140990953421706
