report,element_count,community_count,entropy,opportunity_type,top_communities,impact_score
Report 12,21,5,2.034709089239382,splitting,"{3: 8, 7: 6, 2: 4}",4.272889087402702
Report 19,21,5,1.7794238321465292,splitting,"{2: 10, 3: 7, 1: 2}",3.7367900475077116
Report 5,12,6,2.396240625180289,splitting,"{2: 3, 7: 3, 3: 3}",2.875488750216347
Report 17,16,4,1.7489992230622806,splitting,"{3: 7, 2: 5, 5: 3}",2.798398756899649
Report 10,14,5,1.8702538164316223,splitting,"{7: 6, 3: 5, 2: 1}",2.618355343004271
Report 18,14,5,1.8322488896002305,splitting,"{7: 7, 3: 4, 5: 1}",2.5651484454403226
Report 3,13,4,1.95006375643621,splitting,"{3: 4, 2: 4, 5: 3}",2.535082883367073
Report 8,14,4,1.7244078178625923,splitting,"{2: 7, 5: 3, 3: 3}",2.414170945007629
Report 9,14,4,1.7244078178625923,splitting,"{2: 7, 5: 3, 7: 3}",2.414170945007629
Report 14,11,5,2.1180782093497093,splitting,"{0: 4, 3: 3, 2: 2}",2.32988603028468
