report,element_count,community_count,entropy,opportunity_type,top_communities,impact_score
Report 19,21,4,1.6152502650882519,splitting,"{4: 11, 0: 6, 1: 3}",3.3920255566853292
Report 12,21,4,1.4373770511116046,splitting,"{0: 11, 4: 8, 5: 1}",3.01849180733437
Report 20,13,4,1.95006375643621,splitting,"{1: 4, 4: 4, 0: 3}",2.535082883367073
Report 8,14,4,1.7884504573082896,splitting,"{4: 6, 1: 4, 0: 3}",2.5038306402316053
Report 5,12,5,2.054585169337799,splitting,"{0: 5, 4: 3, 1: 2}",2.465502203205359
Report 10,14,4,1.7273966735744792,splitting,"{4: 6, 0: 5, 1: 2}",2.4183553430042712
Report 4,15,3,1.5655962303576019,splitting,"{4: 6, 0: 5, 1: 4}",2.348394345536403
Report 2,11,4,1.867633890971212,splitting,"{1: 4, 0: 3, 4: 3}",2.054397280068333
Report 1,11,3,1.4949188482339508,splitting,"{0: 5, 4: 4, 1: 2}",1.6444107330573459
Report 6,12,3,1.3250112108241772,splitting,"{4: 6, 0: 5, 1: 1}",1.5900134529890126
