report,element_count,community_count,entropy,opportunity_type,top_communities,impact_score
Report 12,21,6,2.279720852464461,splitting,"{12: 8, 3: 5, 4: 3}",4.787413790175369
Report 19,21,5,2.0892446619882707,splitting,"{3: 8, 10: 5, 11: 4}",4.387413790175368
Report 16,25,4,1.571346433249389,splitting,"{11: 14, 12: 6, 10: 4}",3.9283660831234726
Report 10,14,6,2.4677201004744993,splitting,"{8: 4, 11: 3, 3: 2}",3.454808140664299
Report 8,14,6,2.467720100474499,splitting,"{10: 4, 3: 3, 0: 2}",3.4548081406642988
Report 5,12,6,2.4591479170272446,splitting,"{8: 3, 3: 3, 11: 2}",2.9509775004326935
Report 15,17,4,1.7130788426267936,splitting,"{10: 8, 11: 5, 12: 3}",2.912234032465549
Report 4,15,4,1.889246428509158,splitting,"{3: 6, 10: 4, 12: 3}",2.833869642763737
Report 17,16,4,1.764097655573916,splitting,"{10: 6, 3: 6, 12: 3}",2.8225562489182656
Report 3,13,4,1.95006375643621,splitting,"{3: 4, 10: 4, 5: 3}",2.535082883367073
