report,element_count,community_count,entropy,opportunity_type,top_communities,impact_score
Report 12,21,5,2.0347090892393824,splitting,"{0: 8, 5: 6, 4: 4}",4.272889087402703
Report 16,25,4,1.6135681581652277,splitting,"{1: 13, 0: 7, 8: 4}",4.03392039541307
Report 5,12,8,2.8553885422075336,splitting,"{4: 3, 5: 2, 0: 2}",3.42646625064904
Report 17,16,5,1.9746017527145812,splitting,"{1: 7, 5: 4, 0: 3}",3.15936280434333
Report 9,14,5,1.9211854965885544,splitting,"{5: 7, 4: 3, 3: 2}",2.689659695223976
Report 15,17,4,1.54515219719895,splitting,"{1: 10, 0: 4, 3: 2}",2.626758735238215
Report 10,14,5,1.8702538164316223,splitting,"{4: 6, 1: 5, 5: 1}",2.618355343004271
Report 19,21,3,1.221694907636328,splitting,"{5: 11, 1: 9, 3: 1}",2.5655593060362887
Report 18,14,4,1.7273966735744792,splitting,"{4: 6, 0: 5, 5: 2}",2.4183553430042712
Report 6,12,5,1.9508257945180885,splitting,"{1: 5, 5: 4, 4: 1}",2.340990953421706
