report,element_count,community_count,entropy,opportunity_type,top_communities,impact_score
Report 16,25,4,1.6430741894285696,splitting,"{9: 12, 3: 8, 2: 4}",4.107685473571424
Report 12,21,4,1.8726693569100332,splitting,"{4: 7, 3: 7, 1: 5}",3.93260564951107
Report 19,21,4,1.7763318528003076,splitting,"{9: 9, 4: 7, 7: 3}",3.730296890880646
Report 5,12,8,2.8553885422075336,splitting,"{3: 3, 8: 2, 7: 2}",3.42646625064904
Report 10,14,6,2.3787834934861753,splitting,"{9: 4, 8: 4, 7: 2}",3.3302968908806454
Report 17,16,5,2.0550365325772657,splitting,"{7: 6, 9: 5, 4: 2}",3.288058452123625
Report 15,17,5,1.7360411676599221,splitting,"{9: 10, 3: 3, 7: 2}",2.9512699850218675
Report 4,15,4,1.8294732983598407,splitting,"{7: 7, 9: 3, 4: 3}",2.744209947539761
Report 18,14,5,1.9211854965885544,splitting,"{3: 7, 4: 3, 8: 2}",2.689659695223976
Report 8,14,4,1.8423709931771088,splitting,"{7: 6, 9: 4, 6: 2}",2.579319390447952
