report,element_count,community_count,entropy,opportunity_type,top_communities,impact_score
Report 19,21,6,2.3915549260643076,splitting,"{7: 7, 4: 5, 12: 3}",5.022265344735046
Report 12,21,5,1.9533040442609686,splitting,"{2: 10, 10: 4, 4: 4}",4.101938492948034
Report 16,25,3,1.5690255736436505,splitting,"{5: 10, 7: 8, 2: 7}",3.922563934109126
Report 10,14,6,2.467720100474499,splitting,"{0: 4, 7: 3, 12: 2}",3.4548081406642988
Report 4,15,5,2.256564762130954,splitting,"{7: 4, 12: 4, 2: 3}",3.3848471431964304
Report 5,12,7,2.625814583693911,splitting,"{0: 3, 2: 3, 12: 2}",3.150977500432693
Report 20,13,6,2.3158243335257076,splitting,"{12: 4, 4: 4, 5: 2}",3.01057163358342
Report 8,14,5,2.1209520310264036,splitting,"{7: 5, 12: 4, 9: 2}",2.9693328434369652
Report 1,11,7,2.5503407095463886,splitting,"{4: 4, 2: 2, 3: 1}",2.8053747805010274
Report 17,16,4,1.7489992230622806,splitting,"{7: 7, 12: 5, 2: 3}",2.798398756899649
