report,element_count,community_count,entropy,opportunity_type,top_communities,impact_score
Report 19,21,3,1.4180260055608094,splitting,"{2: 11, 1: 7, 4: 3}",2.9778546116777
Report 5,12,4,1.8553885422075338,splitting,"{2: 4, 4: 4, 1: 3}",2.2264662506490405
Report 17,16,3,1.3663146570363986,splitting,"{2: 9, 1: 5, 4: 2}",2.186103451258238
Report 14,11,4,1.9362600275315274,splitting,"{0: 4, 1: 3, 4: 2}",2.12988603028468
Report 10,14,3,1.4488156357251847,splitting,"{1: 6, 4: 6, 2: 2}",2.0283418900152586
Report 13,11,4,1.789929075309999,splitting,"{2: 5, 0: 3, 4: 2}",1.968921982840999
Report 6,12,3,1.5545851693377997,splitting,"{2: 5, 1: 4, 4: 3}",1.8655022032053594
Report 3,13,3,1.2957378005380122,splitting,"{2: 7, 1: 5, 4: 1}",1.6844591406994158
Report 11,12,3,1.3250112108241772,splitting,"{2: 6, 1: 5, 4: 1}",1.5900134529890126
Report 7,9,3,1.4355205042826666,splitting,"{2: 5, 4: 2, 3: 2}",1.2919684538544
