report,element_count,community_count,entropy,opportunity_type,top_communities,impact_score
Report 12,21,4,1.7502248772852353,splitting,"{3: 10, 2: 6, 0: 3}",3.6754722422989943
Report 19,21,4,1.5645041853857053,splitting,"{2: 12, 4: 5, 0: 3}",3.285458789309981
Report 17,16,4,1.7028195311147831,splitting,"{4: 8, 2: 4, 0: 3}",2.724511249783653
Report 5,12,5,2.188721875540867,splitting,"{3: 4, 0: 3, 4: 2}",2.6264662506490404
Report 9,14,4,1.7244078178625923,splitting,"{2: 7, 4: 3, 3: 3}",2.414170945007629
Report 15,17,3,1.402081402756032,splitting,"{4: 8, 0: 7, 2: 2}",2.3835383846852545
Report 8,14,4,1.6644977792004614,splitting,"{4: 8, 2: 2, 3: 2}",2.330296890880646
Report 4,15,4,1.532914563979398,splitting,"{4: 8, 2: 5, 0: 1}",2.2993718459690973
Report 10,14,3,1.5566567074628228,splitting,"{3: 6, 4: 4, 0: 4}",2.1793193904479518
Report 6,12,4,1.7924812503605778,splitting,"{2: 6, 4: 2, 3: 2}",2.150977500432693
