report,element_count,community_count,entropy,opportunity_type,top_communities,impact_score
Report 12,21,5,2.0347090892393824,splitting,"{7: 8, 5: 6, 6: 4}",4.272889087402703
Report 16,25,4,1.571346433249389,splitting,"{1: 14, 7: 6, 9: 4}",3.9283660831234726
Report 5,12,7,2.6258145836939115,splitting,"{5: 3, 6: 3, 7: 2}",3.150977500432694
Report 18,14,5,2.0670314951575843,splitting,"{6: 5, 7: 4, 5: 3}",2.893844093220618
Report 17,16,4,1.7489992230622806,splitting,"{1: 7, 5: 5, 7: 3}",2.798398756899649
Report 15,17,4,1.54515219719895,splitting,"{1: 10, 7: 4, 4: 2}",2.626758735238215
Report 19,21,3,1.221694907636328,splitting,"{5: 11, 1: 9, 4: 1}",2.5655593060362887
Report 10,14,4,1.7273966735744792,splitting,"{6: 6, 1: 5, 5: 2}",2.4183553430042712
Report 14,11,5,2.1180782093497093,splitting,"{3: 4, 5: 3, 1: 2}",2.32988603028468
Report 20,13,4,1.6691803368667308,splitting,"{5: 7, 1: 3, 4: 2}",2.16993443792675
