data_element,community_0,community_1,community_2,community_3
dbo.Table1.att_14,0.1973334861609006,0.20892626816148172,0.21302259937171103,0.3807176463059067
dbo.Table1.att_16,0.22018896704945254,0.31267770611077306,0.32703244529378633,0.14010088154598802
dbo.Table1.att_17,0.317418555310298,0.28191091043732064,0.2772082220724673,0.12346231217991409
dbo.Table1.att_18,0.2667265215043787,0.27729357583700165,0.27744130445702603,0.17853859820159365
dbo.Table1.att_8,0.253823387637224,0.26704761265547566,0.26863968652464854,0.21048931318265182
dbo.Table10.att_1,0.23875102661520747,0.33116427309944874,0.33725955407471936,0.09282514621062432
dbo.Table10.att_10,0.28067300552240865,0.26937874154574143,0.2690329406238333,0.18091531230801663
dbo.Table10.att_11,0.34800718528415653,0.27117630652159397,0.2606357648848034,0.12018074330944616
dbo.Table10.att_13,0.23892300107704886,0.3171128332348383,0.32385166280699845,0.12011250288111434
dbo.Table10.att_18,0.29998959280792553,0.29186856309454967,0.2854482528469094,0.12269359125061537
dbo.Table10.att_3,0.20038688558283782,0.307416600658703,0.326534235686816,0.1656622780716431
dbo.Table10.att_8,0.27026204044150676,0.29525009978504224,0.2938110211414179,0.14067683863203306
dbo.Table10.att_9,0.16721110021999486,0.25286302715424186,0.27041076206919,0.3095151105565732
dbo.Table2.att_11,0.2691227143716977,0.2965488468959801,0.296001072081524,0.13832736665079817
dbo.Table2.att_13,0.2356150218073904,0.29168551229061274,0.2971518893911244,0.17554757651087244
dbo.Table2.att_17,0.24765237249577166,0.27560110648573255,0.27869567073155066,0.19805085028694516
dbo.Table2.att_19,0.16722233685300983,0.2014382125373954,0.2072130185235966,0.42412643208599815
dbo.Table2.att_20,0.25848395968396454,0.290058897851668,0.2922877438143043,0.15916939865006324
dbo.Table2.att_3,0.3003551222376163,0.24622599663822659,0.2399880948661424,0.21343078625801465
dbo.Table2.att_9,0.2715832140087373,0.22312344059878553,0.21940372412096132,0.28588962127151574
dbo.Table3.att_12,0.26988422790450856,0.30128324400411116,0.301216322161396,0.12761620592998424
dbo.Table3.att_15,0.26559833907247443,0.29687638882283857,0.29977079307807675,0.1377544790266103
dbo.Table3.att_16,0.21684723471138825,0.316279870723582,0.33202629250447363,0.13484660206055613
dbo.Table3.att_17,0.31065341479834074,0.28317791732398706,0.275390636632663,0.1307780312450092
dbo.Table3.att_2,0.3061589230280454,0.24548659069983542,0.24048381390029316,0.20787067237182597
dbo.Table3.att_3,0.07017337410998654,0.07566258700783246,0.0770694258916428,0.7770946129905382
dbo.Table3.att_4,0.20031788556147648,0.29697220881090197,0.3156613544367158,0.18704855119090577
