report,element_count,community_count,entropy,opportunity_type,top_communities,impact_score
Report 12,21,4,1.746435384238893,splitting,"{7: 11, 1: 4, 10: 3}",3.6675143069016753
Report 16,25,3,1.4056780552463373,splitting,"{2: 14, 7: 7, 8: 4}",3.5141951381158436
Report 19,21,4,1.6482387129958878,splitting,"{2: 10, 1: 7, 11: 3}",3.4613012972913646
Report 5,12,7,2.688721875540867,splitting,"{5: 3, 1: 2, 2: 2}",3.2264662506490405
Report 15,17,5,1.8210319581338212,splitting,"{2: 9, 7: 4, 6: 2}",3.0957543288274962
Report 10,14,5,2.1820058147602133,splitting,"{2: 4, 5: 4, 7: 3}",3.0548081406642984
Report 4,15,4,1.889246428509158,splitting,"{1: 6, 2: 4, 7: 3}",2.833869642763737
Report 8,14,4,1.877387064296613,splitting,"{2: 6, 1: 3, 11: 3}",2.628341890015258
Report 1,11,6,2.2221915755066783,splitting,"{1: 5, 7: 2, 0: 1}",2.4444107330573464
Report 17,16,3,1.4772170014624826,splitting,"{2: 8, 1: 5, 7: 3}",2.363547202339972
