report,element_count,community_count,entropy,opportunity_type,top_communities,impact_score
Report 19,21,5,2.081397184065388,splitting,"{1: 9, 5: 4, 0: 4}",4.370934086537315
Report 8,14,6,2.4677201004744993,splitting,"{1: 4, 2: 3, 4: 2}",3.454808140664299
Report 4,15,5,2.1735572622751853,splitting,"{1: 4, 5: 4, 0: 4}",3.2603358934127784
Report 20,13,6,2.353533948577482,splitting,"{0: 4, 1: 3, 5: 3}",3.0595941331507266
Report 5,12,6,2.3553885422075336,splitting,"{1: 4, 5: 3, 0: 2}",2.82646625064904
Report 17,16,4,1.6493974703476992,splitting,"{1: 8, 0: 5, 2: 2}",2.639035952556319
Report 12,21,3,1.221694907636328,splitting,"{5: 11, 1: 9, 0: 1}",2.5655593060362887
Report 1,11,5,2.1180782093497093,splitting,"{5: 4, 1: 3, 0: 2}",2.32988603028468
Report 2,11,5,2.1180782093497093,splitting,"{0: 4, 5: 3, 2: 2}",2.32988603028468
Report 3,13,4,1.7381493331928664,splitting,"{1: 6, 0: 4, 2: 2}",2.2595941331507263
