report,element_count,community_count,entropy,opportunity_type,top_communities,impact_score
Report 12,21,4,1.9173570203484225,splitting,"{2: 8, 0: 5, 5: 5}",4.026449742731687
Report 17,16,6,2.2987949406953985,splitting,"{5: 5, 0: 5, 7: 2}",3.6780719051126374
Report 19,21,4,1.549211124711451,splitting,"{0: 11, 5: 7, 7: 2}",3.2533433618940473
Report 3,13,6,2.353533948577482,splitting,"{5: 4, 3: 3, 0: 3}",3.0595941331507266
Report 5,12,6,2.396240625180289,splitting,"{6: 3, 0: 3, 5: 3}",2.875488750216347
Report 18,14,5,1.9211854965885542,splitting,"{6: 7, 5: 3, 2: 2}",2.689659695223976
Report 8,14,5,1.9211854965885544,splitting,"{7: 7, 5: 3, 2: 2}",2.689659695223976
Report 4,15,4,1.781937063546704,splitting,"{7: 6, 0: 5, 5: 3}",2.672905595320056
Report 11,12,5,2.117492461184755,splitting,"{5: 5, 7: 2, 3: 2}",2.5409909534217063
Report 10,14,4,1.809200032697812,splitting,"{6: 5, 5: 5, 4: 3}",2.532880045776937
