report,element_count,community_count,entropy,opportunity_type,top_communities,impact_score
Report 19,21,5,1.9142650410022009,splitting,"{2: 9, 6: 6, 5: 4}",4.019956586104621
Report 12,21,4,1.7423773993623526,splitting,"{4: 9, 2: 6, 6: 5}",3.6589925386609403
Report 10,14,5,2.209888638014727,splitting,"{0: 5, 2: 3, 6: 2}",3.093844093220618
Report 5,12,6,2.396240625180289,splitting,"{6: 3, 0: 3, 2: 3}",2.875488750216347
Report 18,14,4,1.9591904234199458,splitting,"{4: 5, 0: 3, 2: 3}",2.742866592787924
Report 9,14,5,1.9211854965885544,splitting,"{6: 7, 4: 3, 2: 2}",2.689659695223976
Report 14,11,4,1.9362600275315274,splitting,"{3: 4, 2: 3, 4: 2}",2.12988603028468
Report 20,13,4,1.6143308351592656,splitting,"{6: 6, 2: 5, 0: 1}",2.0986300857070455
Report 6,12,4,1.7295739585136223,splitting,"{2: 6, 6: 3, 4: 2}",2.075488750216347
Report 3,13,4,1.573402452417767,splitting,"{2: 7, 6: 4, 0: 1}",2.045423188143097
