report,element_count,community_count,entropy,opportunity_type,top_communities,impact_score
Report 19,21,7,2.6528257554939594,splitting,"{4: 6, 2: 3, 3: 3}",5.570934086537315
Report 12,21,5,1.7956828983511028,splitting,"{2: 9, 5: 8, 3: 2}",3.7709340865373155
Report 4,15,6,2.2825887305018333,splitting,"{3: 5, 4: 4, 9: 3}",3.4238830957527497
Report 17,16,5,2.1266144718101816,splitting,"{4: 5, 5: 5, 9: 3}",3.4025831548962904
Report 8,14,6,2.3787834934861753,splitting,"{9: 4, 4: 4, 2: 2}",3.3302968908806454
Report 20,13,6,2.411602217974672,splitting,"{9: 4, 3: 3, 4: 2}",3.1350828833670734
Report 5,12,6,2.2841591278514217,splitting,"{5: 5, 9: 2, 2: 2}",2.740990953421706
Report 3,13,5,2.103909910282364,splitting,"{5: 4, 4: 4, 9: 3}",2.735082883367073
Report 9,14,4,1.924174352300441,splitting,"{2: 5, 3: 4, 6: 3}",2.693844093220618
Report 6,12,5,2.2295739585136225,splitting,"{4: 3, 2: 3, 5: 3}",2.675488750216347
