report,element_count,community_count,entropy,opportunity_type,top_communities,impact_score
Report 12,21,4,1.9347154954246264,splitting,"{10: 8, 7: 5, 4: 4}",4.062902540391716
Report 19,21,4,1.873562518512994,splitting,"{3: 9, 10: 5, 6: 4}",3.9344812888772878
Report 17,16,6,2.2806390622295662,splitting,"{3: 6, 6: 4, 11: 2}",3.649022499567306
Report 4,15,6,2.389898095464287,splitting,"{3: 4, 6: 4, 8: 3}",3.5848471431964306
Report 8,14,6,2.5216406363433186,splitting,"{3: 4, 6: 2, 12: 2}",3.5302968908806465
Report 5,12,8,2.8553885422075336,splitting,"{4: 3, 6: 2, 3: 2}",3.42646625064904
Report 3,13,7,2.4996981431844145,splitting,"{3: 5, 11: 2, 6: 2}",3.2496075861397387
Report 9,14,6,2.263809173883546,splitting,"{10: 5, 6: 4, 4: 2}",3.1693328434369645
Report 18,14,5,2.155968102145908,splitting,"{4: 5, 10: 3, 7: 3}",3.018355343004271
Report 10,14,6,2.128085278891394,splitting,"{4: 6, 3: 4, 6: 1}",2.9793193904479516
