report,element_count,community_count,entropy,opportunity_type,top_communities,impact_score
Report 19,21,5,1.9735561123277499,splitting,"{2: 9, 1: 6, 0: 3}",4.144467835888275
Report 20,13,6,2.4116022179746714,splitting,"{1: 4, 2: 3, 5: 2}",3.135082883367073
Report 17,16,6,1.9197367178034825,splitting,"{2: 9, 0: 3, 4: 1}",3.071578748485572
Report 4,15,5,2.0419460322060456,splitting,"{2: 5, 1: 5, 5: 3}",3.0629190483090687
Report 8,14,5,2.1559681021459074,splitting,"{2: 5, 5: 3, 1: 3}",3.0183553430042704
Report 2,11,6,2.481714572986073,splitting,"{1: 3, 5: 2, 0: 2}",2.7298860302846806
Report 12,21,3,1.221694907636328,splitting,"{1: 11, 2: 9, 4: 1}",2.5655593060362887
Report 5,12,5,2.054585169337799,splitting,"{2: 5, 1: 3, 5: 2}",2.465502203205359
Report 3,13,5,1.8810947601100747,splitting,"{2: 7, 0: 2, 5: 2}",2.445423188143097
Report 1,11,5,1.971747257128181,splitting,"{1: 5, 2: 3, 0: 1}",2.1689219828409994
