report,element_count,community_count,entropy,opportunity_type,top_communities,impact_score
Report 19,21,5,2.0047476376636357,splitting,"{6: 9, 8: 5, 7: 4}",4.209970039093635
Report 12,21,4,1.8221189251103271,splitting,"{10: 10, 12: 4, 8: 4}",3.826449742731687
Report 16,25,3,1.4056780552463373,splitting,"{6: 14, 10: 7, 9: 4}",3.5141951381158436
Report 5,12,7,2.688721875540867,splitting,"{4: 3, 7: 2, 6: 2}",3.2264662506490405
Report 10,14,5,2.270942421748537,splitting,"{6: 4, 10: 3, 4: 3}",3.179319390447952
Report 15,17,5,1.8498687225851778,splitting,"{6: 9, 7: 3, 10: 3}",3.1447768283948023
Report 4,15,5,2.063458298648303,splitting,"{7: 7, 1: 2, 8: 2}",3.095187447972455
Report 17,16,5,1.9211796919474975,splitting,"{7: 7, 6: 5, 10: 2}",3.073887507115996
Report 9,14,5,2.1209520310264036,splitting,"{7: 5, 8: 4, 10: 2}",2.9693328434369652
Report 1,11,7,2.5503407095463886,splitting,"{8: 4, 10: 2, 1: 1}",2.8053747805010274
