Report,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0
Report 1,0.0,0.0,0.09090909090909091,0.6363636363636364,0.0,0.0,0.0,0.2727272727272727
Report 10,0.35714285714285715,0.0,0.35714285714285715,0.07142857142857142,0.0,0.07142857142857142,0.0,0.14285714285714285
Report 11,0.0,0.0,0.6666666666666666,0.08333333333333333,0.0,0.25,0.0,0.0
Report 12,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.047619047619047616,0.0,0.38095238095238093
Report 13,0.0,0.2727272727272727,0.09090909090909091,0.5454545454545454,0.0,0.09090909090909091,0.0,0.0
Report 14,0.0,0.36363636363636365,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0,0.09090909090909091
Report 15,0.0,0.0,0.7058823529411765,0.058823529411764705,0.0,0.17647058823529413,0.058823529411764705,0.0
Report 16,0.0,0.0,0.72,0.04,0.0,0.0,0.16,0.08
Report 17,0.0,0.0,0.375,0.375,0.0,0.1875,0.0,0.0625
Report 18,0.21428571428571427,0.0,0.21428571428571427,0.14285714285714285,0.0,0.14285714285714285,0.0,0.2857142857142857
Report 19,0.0,0.0,0.38095238095238093,0.38095238095238093,0.09523809523809523,0.14285714285714285,0.0,0.0
Report 2,0.0,0.0,0.09090909090909091,0.36363636363636365,0.0,0.45454545454545453,0.0,0.09090909090909091
Report 20,0.07692307692307693,0.0,0.23076923076923078,0.6153846153846154,0.0,0.07692307692307693,0.0,0.0
Report 3,0.07692307692307693,0.0,0.38461538461538464,0.38461538461538464,0.0,0.15384615384615385,0.0,0.0
Report 4,0.0,0.0,0.2,0.26666666666666666,0.0,0.5333333333333333,0.0,0.0
Report 5,0.25,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.08333333333333333,0.08333333333333333
Report 6,0.0,0.0,0.3333333333333333,0.5,0.0,0.08333333333333333,0.0,0.08333333333333333
Report 7,0.0,0.0,0.0,0.3333333333333333,0.0,0.5555555555555556,0.0,0.1111111111111111
Report 8,0.0,0.0,0.21428571428571427,0.0,0.0,0.7857142857142857,0.0,0.0
Report 9,0.0,0.07142857142857142,0.0,0.6428571428571429,0.0,0.14285714285714285,0.0,0.14285714285714285
