report,element_count,community_count,entropy,opportunity_type,top_communities,impact_score
Report 19,21,5,1.7956828983511028,splitting,"{6: 9, 5: 8, 0: 2}",3.7709340865373155
Report 12,21,4,1.7047668562193676,splitting,"{4: 10, 6: 5, 5: 5}",3.580010398060672
Report 10,14,6,2.467720100474499,splitting,"{8: 4, 5: 3, 6: 2}",3.4548081406642988
Report 5,12,7,2.6258145836939115,splitting,"{8: 3, 6: 3, 5: 2}",3.150977500432694
Report 8,14,4,1.8423709931771088,splitting,"{5: 6, 6: 4, 10: 2}",2.579319390447952
Report 18,14,4,1.7884504573082893,splitting,"{4: 6, 5: 4, 8: 3}",2.503830640231605
Report 14,11,4,1.9362600275315274,splitting,"{2: 4, 5: 3, 4: 2}",2.12988603028468
Report 7,9,5,2.2810361125534238,splitting,"{4: 2, 5: 2, 6: 2}",2.0529325012980815
Report 17,16,3,1.2475562489182659,splitting,"{5: 9, 6: 6, 4: 1}",1.9960899982692255
Report 3,13,3,1.5262349099495227,splitting,"{5: 6, 6: 4, 9: 3}",1.9841053829343795
