report,element_count,community_count,entropy,opportunity_type,top_communities,impact_score
Report 19,21,5,2.0892446619882707,splitting,"{9: 8, 10: 5, 8: 4}",4.387413790175368
Report 12,21,5,2.0485421394990637,splitting,"{6: 8, 7: 5, 9: 5}",4.301938492948034
Report 16,25,4,1.571346433249389,splitting,"{8: 14, 6: 6, 10: 4}",3.9283660831234726
Report 8,14,6,2.467720100474499,splitting,"{10: 4, 9: 3, 2: 2}",3.4548081406642988
Report 10,14,5,2.2098886380147267,splitting,"{5: 5, 8: 3, 9: 2}",3.0938440932206173
Report 5,12,6,2.4591479170272446,splitting,"{5: 3, 9: 3, 8: 2}",2.9509775004326935
Report 15,17,4,1.7130788426267936,splitting,"{10: 8, 8: 5, 6: 3}",2.912234032465549
Report 4,15,4,1.889246428509158,splitting,"{9: 6, 10: 4, 6: 3}",2.833869642763737
Report 17,16,4,1.764097655573916,splitting,"{10: 6, 9: 6, 6: 3}",2.8225562489182656
Report 3,13,5,2.161978179679554,splitting,"{9: 4, 10: 4, 8: 2}",2.81057163358342
