report,element_count,community_count,entropy,opportunity_type,top_communities,impact_score
Report 19,21,5,2.0892446619882707,splitting,"{4: 8, 3: 5, 6: 4}",4.387413790175368
Report 12,21,4,1.6411537317874583,splitting,"{5: 12, 4: 4, 0: 3}",3.446422836753662
Report 16,25,3,1.290564432903234,splitting,"{4: 14, 0: 9, 5: 2}",3.2264110822580845
Report 9,14,5,2.1820058147602133,splitting,"{4: 4, 3: 4, 5: 3}",3.0548081406642984
Report 10,14,5,2.120952031026403,splitting,"{7: 5, 4: 4, 5: 2}",2.9693328434369644
Report 5,12,6,2.4591479170272446,splitting,"{7: 3, 4: 3, 3: 2}",2.9509775004326935
Report 18,14,5,1.9211854965885544,splitting,"{5: 7, 7: 3, 0: 2}",2.689659695223976
Report 14,11,5,2.1867043459100244,splitting,"{1: 4, 5: 2, 3: 2}",2.4053747805010266
Report 15,17,3,1.383099991189334,splitting,"{4: 10, 0: 4, 3: 3}",2.351269985021868
Report 13,11,4,1.9808259362290785,splitting,"{3: 3, 1: 3, 4: 3}",2.1789085298519866
