report,element_count,community_count,entropy,opportunity_type,top_communities,impact_score
Report 12,21,5,2.1417876642625675,splitting,"{3: 7, 12: 5, 8: 4}",4.497754094951391
Report 17,16,7,2.396782221599798,splitting,"{12: 7, 1: 2, 6: 2}",3.834851554559677
Report 19,21,4,1.7170407814747584,splitting,"{12: 9, 3: 7, 1: 4}",3.6057856410969924
Report 5,12,8,2.8553885422075336,splitting,"{8: 3, 11: 2, 12: 2}",3.42646625064904
Report 9,14,6,2.217021885879718,splitting,"{3: 6, 11: 3, 8: 2}",3.1038306402316054
Report 4,15,5,2.0662478973127314,splitting,"{3: 5, 12: 4, 1: 4}",3.099371845969097
Report 18,14,5,2.155968102145908,splitting,"{8: 5, 3: 3, 7: 3}",3.018355343004271
Report 10,14,6,2.128085278891394,splitting,"{8: 6, 12: 4, 3: 1}",2.9793193904479516
Report 20,13,6,2.2877837199410704,splitting,"{3: 5, 12: 3, 11: 2}",2.9741188359233917
Report 15,17,5,1.7360411676599221,splitting,"{12: 10, 7: 3, 6: 2}",2.9512699850218675
