report,element_count,community_count,entropy,opportunity_type,top_communities,impact_score
Report 19,21,4,1.6152502650882519,splitting,"{4: 11, 1: 6, 2: 3}",3.3920255566853292
Report 20,13,6,2.4116022179746714,splitting,"{4: 4, 1: 3, 7: 2}",3.135082883367073
Report 4,15,5,2.0419460322060456,splitting,"{4: 5, 1: 5, 7: 3}",3.0629190483090687
Report 2,11,6,2.481714572986073,splitting,"{1: 3, 7: 2, 2: 2}",2.7298860302846806
Report 8,14,4,1.877387064296613,splitting,"{4: 6, 7: 3, 1: 3}",2.628341890015258
Report 12,21,3,1.221694907636328,splitting,"{1: 11, 4: 9, 6: 1}",2.5655593060362887
Report 5,12,5,2.084962500721156,splitting,"{1: 4, 4: 4, 7: 2}",2.5019550008653875
Report 10,14,3,1.3787834934861753,splitting,"{4: 8, 1: 4, 7: 2}",1.9302968908806455
Report 1,11,4,1.6767370300521325,splitting,"{1: 5, 4: 4, 2: 1}",1.8444107330573458
Report 18,14,3,1.2638091738835462,splitting,"{1: 8, 4: 5, 5: 1}",1.7693328434369646
