report,element_count,community_count,entropy,opportunity_type,top_communities,impact_score
Report 19,21,5,2.058053136652385,splitting,"{5: 8, 9: 6, 2: 3}",4.321911586970009
Report 20,13,8,2.8150724101159437,splitting,"{5: 3, 9: 3, 2: 2}",3.659594133150727
Report 17,16,6,2.224601752714581,splitting,"{5: 7, 4: 3, 7: 2}",3.55936280434333
Report 4,15,5,2.1819370635467044,splitting,"{9: 5, 4: 3, 12: 3}",3.2729055953200565
Report 8,14,5,2.217021885879718,splitting,"{4: 4, 12: 3, 9: 3}",3.1038306402316054
Report 3,13,6,2.287783719941071,splitting,"{5: 5, 4: 3, 7: 2}",2.974118835923392
Report 2,11,6,2.481714572986073,splitting,"{9: 3, 12: 2, 2: 2}",2.7298860302846806
Report 5,12,6,2.221251836004466,splitting,"{5: 5, 9: 3, 12: 1}",2.6655022032053592
Report 12,21,3,1.221694907636328,splitting,"{9: 11, 5: 9, 3: 1}",2.5655593060362887
Report 10,14,5,1.7534343861887849,splitting,"{5: 8, 9: 3, 12: 1}",2.4548081406642988
