report,element_count,community_count,entropy,opportunity_type,top_communities,impact_score
Report 16,25,5,2.076623811079363,splitting,"{9: 9, 11: 7, 5: 4}",5.1915595276984075
Report 12,21,5,2.2125823032160294,splitting,"{8: 6, 11: 6, 1: 4}",4.646422836753662
Report 19,21,5,2.0892446619882707,splitting,"{8: 8, 9: 5, 10: 4}",4.387413790175368
Report 17,16,6,2.452819531114783,splitting,"{6: 4, 8: 4, 10: 3}",3.924511249783653
Report 5,12,9,3.0849625007211556,splitting,"{4: 2, 8: 2, 11: 2}",3.7019550008653868
Report 4,15,7,2.4662478973127313,splitting,"{6: 5, 8: 4, 10: 2}",3.6993718459690967
Report 15,17,5,2.063558608511122,splitting,"{10: 7, 9: 4, 11: 3}",3.5080496344689074
Report 10,14,6,2.4677201004744993,splitting,"{4: 4, 7: 3, 6: 2}",3.454808140664299
Report 8,14,6,2.4137995646056796,splitting,"{6: 4, 10: 3, 0: 3}",3.3793193904479515
Report 9,14,5,2.0670314951575843,splitting,"{8: 5, 4: 4, 6: 3}",2.893844093220618
