report,element_count,community_count,entropy,opportunity_type,top_communities,impact_score
Report 19,21,6,2.3156678763770073,splitting,"{4: 8, 8: 5, 5: 2}",4.862902540391715
Report 12,21,6,2.241781258077324,splitting,"{0: 7, 8: 6, 1: 4}",4.70774064196238
Report 16,25,4,1.7370148112524406,splitting,"{4: 12, 0: 7, 3: 4}",4.342537028131102
Report 17,16,6,2.399397470347699,splitting,"{5: 5, 4: 4, 10: 2}",3.8390359525563182
Report 5,12,8,2.8553885422075336,splitting,"{0: 3, 6: 2, 5: 2}",3.42646625064904
Report 4,15,5,2.1492553971685,splitting,"{5: 5, 10: 4, 8: 3}",3.2238830957527496
Report 15,17,5,1.8498687225851778,splitting,"{4: 9, 10: 3, 0: 3}",3.1447768283948023
Report 10,14,5,2.1820058147602133,splitting,"{4: 4, 6: 4, 0: 3}",3.0548081406642984
Report 20,13,5,2.1619781796795534,splitting,"{5: 4, 7: 4, 4: 2}",2.8105716335834194
Report 18,14,5,1.9211854965885542,splitting,"{0: 7, 8: 3, 6: 2}",2.689659695223976
