report,element_count,community_count,entropy,opportunity_type,top_communities,impact_score
Report 19,21,7,2.367111469779674,splitting,"{13: 9, 5: 4, 1: 2}",4.970934086537315
Report 20,13,8,2.8150724101159437,splitting,"{13: 3, 1: 3, 3: 2}",3.659594133150727
Report 17,16,7,2.25,splitting,"{13: 8, 3: 2, 2: 2}",3.6
Report 4,15,6,2.389898095464287,splitting,"{13: 4, 1: 4, 3: 3}",3.5848471431964306
Report 8,14,6,2.3787834934861753,splitting,"{3: 4, 13: 4, 2: 2}",3.3302968908806454
Report 12,21,4,1.580000754875826,splitting,"{5: 9, 13: 9, 0: 2}",3.3180015852392346
Report 5,12,8,2.617492461184755,splitting,"{13: 5, 3: 1, 1: 1}",3.1409909534217064
Report 9,14,6,2.217021885879718,splitting,"{5: 6, 1: 3, 7: 2}",3.1038306402316054
Report 3,13,6,2.345851989338261,splitting,"{13: 5, 9: 2, 3: 2}",3.049607586139739
Report 10,14,6,1.950212064914747,splitting,"{13: 8, 5: 2, 3: 1}",2.7302968908806458
