report,element_count,community_count,entropy,opportunity_type,top_communities,impact_score
Report 16,25,3,1.498688570451097,splitting,"{1: 12, 0: 8, 3: 5}",3.746721426127743
Report 19,21,4,1.6644977792004614,splitting,"{1: 9, 4: 8, 3: 3}",3.4954453363209685
Report 10,14,4,1.8773870642966133,splitting,"{3: 6, 1: 3, 0: 3}",2.6283418900152586
Report 5,12,5,2.054585169337799,splitting,"{3: 5, 4: 3, 1: 2}",2.465502203205359
Report 8,14,4,1.7273966735744792,splitting,"{4: 6, 1: 5, 3: 2}",2.4183553430042712
Report 17,16,3,1.4772170014624826,splitting,"{1: 8, 4: 5, 3: 3}",2.363547202339972
Report 13,11,5,2.1180782093497093,splitting,"{4: 4, 2: 3, 3: 2}",2.32988603028468
Report 9,14,4,1.610577243331642,splitting,"{4: 8, 3: 3, 1: 2}",2.254808140664299
Report 6,12,4,1.8250112108241772,splitting,"{1: 5, 3: 3, 4: 3}",2.1900134529890125
Report 14,11,4,1.9362600275315274,splitting,"{2: 4, 3: 3, 4: 2}",2.12988603028468
