report,element_count,community_count,entropy,opportunity_type,top_communities,impact_score
Report 12,21,5,2.0698936164374757,splitting,"{3: 7, 0: 6, 5: 5}",4.346776594518699
Report 17,16,5,2.021782221599798,splitting,"{3: 7, 5: 4, 6: 2}",3.2348515545596768
Report 18,14,5,1.9751060324573735,splitting,"{3: 7, 0: 2, 5: 2}",2.765148445440323
Report 19,21,3,1.221694907636328,splitting,"{5: 11, 3: 9, 2: 1}",2.5655593060362887
Report 9,14,5,1.807354922057604,splitting,"{5: 8, 6: 2, 2: 2}",2.5302968908806456
Report 8,14,4,1.7884504573082896,splitting,"{5: 6, 3: 4, 2: 3}",2.5038306402316053
Report 4,15,4,1.6402239289418519,splitting,"{5: 8, 3: 4, 2: 2}",2.460335893412778
Report 5,12,5,1.896240625180289,splitting,"{3: 6, 5: 3, 2: 1}",2.275488750216347
Report 3,13,4,1.7381493331928664,splitting,"{3: 6, 5: 4, 2: 2}",2.2595941331507263
Report 6,12,4,1.7841591278514217,splitting,"{5: 5, 3: 4, 2: 2}",2.140990953421706
