report,element_count,community_count,entropy,opportunity_type,top_communities,impact_score
Report 12,21,4,1.9133718793992398,splitting,"{9: 7, 10: 7, 8: 4}",4.0180809467384035
Report 16,25,4,1.571346433249389,splitting,"{7: 14, 10: 6, 1: 4}",3.9283660831234726
Report 17,16,6,2.35845859334435,splitting,"{7: 6, 2: 3, 3: 2}",3.7735337493509595
Report 19,21,4,1.6644977792004614,splitting,"{7: 9, 9: 8, 11: 3}",3.4954453363209685
Report 5,12,8,2.8553885422075336,splitting,"{8: 3, 9: 2, 10: 2}",3.42646625064904
Report 8,14,5,2.270942421748537,splitting,"{7: 4, 11: 3, 9: 3}",3.179319390447952
Report 15,17,6,1.8536882264834516,splitting,"{7: 10, 10: 3, 3: 1}",3.1512699850218677
Report 4,15,5,2.0662478973127314,splitting,"{9: 5, 7: 4, 2: 4}",3.099371845969097
Report 10,14,6,2.128085278891394,splitting,"{8: 6, 7: 4, 2: 1}",2.9793193904479516
Report 3,13,6,2.287783719941071,splitting,"{7: 5, 9: 3, 3: 2}",2.974118835923392
