report,element_count,community_count,entropy,opportunity_type,top_communities,impact_score
Report 4,15,7,2.5232314287976205,splitting,"{2: 4, 9: 4, 0: 3}",3.784847143196431
Report 19,21,4,1.7423773993623528,splitting,"{2: 9, 9: 6, 1: 5}",3.6589925386609408
Report 20,13,7,2.6612262562697895,splitting,"{2: 3, 1: 3, 0: 2}",3.459594133150726
Report 8,14,6,2.4677201004744993,splitting,"{2: 4, 0: 3, 5: 2}",3.454808140664299
Report 5,12,7,2.584962500721156,splitting,"{2: 4, 7: 2, 9: 2}",3.101955000865387
Report 12,21,4,1.4519076150714063,splitting,"{9: 10, 2: 9, 10: 1}",3.0490059916499535
Report 17,16,5,1.875,splitting,"{2: 8, 1: 4, 5: 2}",3.0
Report 3,13,6,2.2877837199410704,splitting,"{2: 5, 1: 3, 5: 2}",2.9741188359233917
Report 10,14,6,2.1179631753145163,splitting,"{2: 7, 9: 2, 7: 2}",2.965148445440323
Report 2,11,7,2.663532754804255,splitting,"{9: 3, 0: 2, 1: 2}",2.9298860302846803
