report,element_count,community_count,entropy,opportunity_type,top_communities,impact_score
Report 16,25,5,2.131346433249389,splitting,"{7: 7, 0: 7, 6: 6}",5.3283660831234725
Report 19,21,7,2.4867930213024025,splitting,"{7: 7, 3: 5, 4: 3}",5.222265344735045
Report 12,21,6,2.434250019028106,splitting,"{3: 6, 0: 5, 13: 4}",5.111925039959022
Report 4,15,7,2.689246428509158,splitting,"{7: 3, 4: 3, 3: 3}",4.0338696427637375
Report 15,17,6,2.3360253406140252,splitting,"{7: 6, 6: 3, 0: 3}",3.9712430790438433
Report 17,16,7,2.436278124459133,splitting,"{7: 6, 6: 3, 3: 3}",3.898044999134613
Report 8,14,6,2.467720100474499,splitting,"{3: 4, 10: 3, 7: 2}",3.4548081406642988
Report 5,12,8,2.8553885422075336,splitting,"{5: 3, 3: 2, 0: 2}",3.42646625064904
Report 3,13,6,2.287783719941071,splitting,"{6: 5, 7: 3, 4: 2}",2.974118835923392
Report 10,14,5,2.0670314951575843,splitting,"{5: 5, 7: 4, 3: 3}",2.893844093220618
