report,element_count,community_count,entropy,opportunity_type,top_communities,impact_score
Report 16,25,4,1.7095263323230747,splitting,"{5: 10, 11: 9, 1: 5}",4.273815830807687
Report 12,21,4,1.832859996023787,splitting,"{5: 9, 6: 5, 10: 5}",3.8490059916499524
Report 19,21,5,1.7956828983511028,splitting,"{10: 9, 11: 8, 2: 2}",3.7709340865373155
Report 10,14,7,2.610577243331642,splitting,"{4: 4, 11: 3, 10: 2}",3.6548081406642994
Report 5,12,7,2.6258145836939115,splitting,"{4: 3, 10: 3, 5: 2}",3.150977500432694
Report 4,15,4,1.889246428509158,splitting,"{10: 6, 11: 4, 5: 3}",2.833869642763737
Report 8,14,4,1.9241743523004413,splitting,"{11: 5, 10: 4, 5: 3}",2.693844093220618
Report 17,16,4,1.6774212838293647,splitting,"{11: 7, 10: 6, 5: 2}",2.6838740541269837
Report 1,11,6,2.2221915755066783,splitting,"{10: 5, 5: 2, 7: 1}",2.4444107330573464
Report 3,13,4,1.8262452584026092,splitting,"{11: 5, 10: 4, 9: 3}",2.374118835923392
