report,element_count,community_count,entropy,opportunity_type,top_communities,impact_score
Report 16,25,6,2.418830073557112,splitting,"{7: 7, 9: 5, 0: 5}",6.0470751838927805
Report 12,21,8,2.7152088061657302,splitting,"{12: 5, 7: 5, 5: 4}",5.701938492948034
Report 19,21,7,2.684017280829845,splitting,"{9: 5, 12: 4, 2: 3}",5.636436289742674
Report 17,16,8,2.649397470347699,splitting,"{9: 5, 6: 4, 8: 2}",4.239035952556319
Report 15,17,7,2.4164997849817103,splitting,"{9: 7, 7: 3, 0: 2}",4.108049634468907
Report 10,14,7,2.359879028736861,splitting,"{4: 6, 9: 3, 8: 1}",3.303830640231605
Report 5,12,7,2.688721875540867,splitting,"{4: 3, 8: 2, 6: 2}",3.2264662506490405
Report 4,15,5,2.1055872616982603,splitting,"{8: 6, 9: 3, 12: 3}",3.1583808925473904
Report 20,13,6,2.4116022179746714,splitting,"{0: 4, 6: 3, 8: 2}",3.135082883367073
Report 9,14,5,2.1820058147602133,splitting,"{6: 4, 12: 4, 8: 3}",3.0548081406642984
